Название курса,Ссылка,Описание,Создатели,Направления
"Здоровье, стресс и управление временем",https://www.utmn.ru/obrazovanie/iot/electives/1113241/,"Почему мы откладываем «на завтра» массу важных и срочных дел, выполняя их в последний момент, но тратим драгоценное время на малозначимые, посторонние и просто бессмысленные занятия, создавая себе стресс дефицита времени? Мы постараемся понять причины, познакомимся с простыми и доступными технологиями управления личным временем, освоим методы нейтрализации хронофагов -""пожирателей времени"", что станет основой стрессоустойчивости и здоровья, высокой работоспособности и успеха в учебной и профессиональной деятельности.
Осознание ценности своего здоровья и его зависимости от стрессоустойчивости, которая подвластна самоуправлению. Студент научится нейтрализовать стресс дефицита времени в результате освоения простых и доступных технологий управления личным временем.",Шатилович Людмила Николаевна,"Социология, Психология, Педагогика, Биология, Биоинженерия, Спорт, Физическая культура"
"Здоровье, стресс и управление временем",https://www.utmn.ru/obrazovanie/iot/electives/1109837/,"Время - уникальный ресурс человека. Каждый из нас ежедневно хочет выполнить массу дел, но многие из них откладываются ""на завтра"". Прокрастинация- откладывание дел ""на потом"". Мы узнаем причины, способы преодоления прокрастинации; практически освоим простейшие методы управления личным временем; и станем понимать: незавершенные дела опасны для здоровья.
В рамках освоения курса студент:
– получит возможность развить способность к самостоятельной постановке образовательных целей и конструированию образовательных маршрутов в целях саморазвития;
– узнает методы диагностики физического, психического и социального благополучия человека, методы нейтрализации стрессоров и хронофагов;
– научится применять в практической жизни способность самостоятельно ставить актуальные цели и конструировать образовательные маршруты для саморазвития;
– научится оценивать уровень соматического здоровья, стрессоустойчивость и качество жизни человека;
– научится применять в практической деятельности методы управления личным временем для повышения эффективности работы, повышения стрессоустойчивости и здоровья.",Шатилович Людмила Николаевна,"Психология, Биология, Биоинженерия, Спорт, Физическая культура"
Зоогеография и история фаун,https://www.utmn.ru/obrazovanie/iot/electives/1099591/,"Как часто еще мы ошибаемся в своих представле­ниях о том, где обитают даже хорошо знакомые нам животные: тигра, например, поселяем в Афри­ке, где тот вообще никогда не жил. Что пингвины не водятся в Арктике, знают, пожа­луй, все, но то, что они гнездятся не только в Антарк­тиде, но и у самого экватора или на юге Африки знают единицы. Много еще интересных фактов о фауне содержит зоогеография. В тоже время, наиболее общее представление о том, какие фаунистические комплексы населяют разные районы мира (и разных уголков России), как они сложились в историческом прошлом и как меняются сейчас, какую пользу или опасность (!) представляют основные представители животного мира, должен знать каждый образованный человек и тем более – человек «путешествующий», каковых сейчас становится все больше.
Получение базовых знаний о животном мире и экологических закономерностях распределения животных по материкам и в Мировом океане Земного шара, о научных и прикладных аспектах использования животного мира.",Гашев Сергей Николаевич,Биология
Игры народов России,https://www.utmn.ru/obrazovanie/iot/electives/1099741/,"Исторические аспекты возникновения народных подвижных игр различных народностей, проживающих в РФ.
Способность к самостоятельной постановке образовательных целей и конструированию образовательных маршрутов в целях саморазвития.",Базилевич Марина Владимировна,Физическая культура
"Изменение климата, как глобальный вызов человечеству",https://www.utmn.ru/obrazovanie/iot/electives/1109984/,"В рамках курса мы попробуем разобраться в вопросах: ""Действительно ли климат манятся в результате деятельности человека?"", ""Какое воздействие новая мировая климатическая политика оказывает на национальные экономики?"", ""В чем отличие зеленого и климатического проекта? и попробуем сделать собственный ""зеленый проект"".
Вы самостоятельно рассчитаете на калькуляторах углеродный след, углеродную единицу и выбросы парниковых газов, а потом попробуете себя в ""зеленом предпринимательстве"".

Если вас заинтересует этот вопрос в дальнейшем, то на следующий год вы сможете продолжить обучение на элективах ""Низкоуглеродные города"", ""Управление геотехносистемами"", ""Лесоболотные системы в сохранении СО2"".
В результате освоения курса вы
- ознакомитесь с основами новой климатической политики, ее значимости в современном мире;
- получите основы экономических и правовых знаний в сфере управления природопользованием;
Надеюсь, что вам станет легче осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач, а так же определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений.","Любаненко Андрей Владимирович, Черемных Лилия Даулятовна, Москвина Наталья Николаевна","Аналитика, Бизнес, Экология, Политика, Политология"
Инвестиционный анализ и планирование в Project Expert,https://www.utmn.ru/obrazovanie/iot/electives/1098137/,"В ходе курса слушатели получают комплексные теоретические знания по разработке и оценке инвестиционных проектов и финансовому моделированию, на практике изучают принципы принятия инвестиционных решений, методы финансового моделирования, отрабатывают навыки разработки и анализа инвестиционных проектов с использованием автоматизированной системы Project Expert. 
Целью курса является развитие у студентов понимания и навыков инвестиционного проектирования, оптимизации и оценки эффективности инвестиций.
Задачи курса:
- обеспечить студентов знаниями, необходимыми для инвестиционного проектирования и анализа;
- обучить студентов практическим технологиям финансового моделирования с применением профессионального программного продукта Project Expert;
- получить комплексные знания о принципах, методах и стандартах бизнес-планирования;
- развить умения и навыки оптимизации финансовой модели проекта и принятия эффективных инвестиционных решений;
- развить способности оценивать альтернативные варианты инвестиционных решений и формировать оптимальный инвестиционный портфель или комплексную инвестиционную стратегию развития предприятия с помощью профессиональных информационных систем
- сформировать навыков оценки рисков проекта, разработки мер по профилактике рисков
- разработать и оптимизировать бизнес-план собственного проекта.
В ходе теоретического обучения рассматриваются эффективные методы и средства решения задач стратегического управления, непосредственно связанных с инвестиционными решениями.
Основная программа курса нацелена на приобретение студентом необходимых практических навыков для разработки, оценки и оптимизации любых бизнес-проектов, портфеля проектов или комплексной инвестиционной стратегии развития предприятия. В их число входят навыки:
 финансового моделирования деятельности предприятия / проекта;
- прогноза финансово-экономических показателей деятельности предприятия;
- инвестиционного анализа, учета неопределенности и рисков;
- подготовки бизнес-плана и представления его заинтересованным организациям.
- эффективных приемов гибкого моделирования, в том числе, с использованием настраиваемых таблиц пользователя.;
- принятия взвешенных управленческих решений с помощью глубокого и всестороннего анализа проекта: анализа безубыточности, оценки бизнеса, What-If-анализа, анализа чувствительности, оценки рисков методом Монте-Карло и др.;
- сравнительного анализа проектов;
- оценки эффективности проекта / портфеля проектов / бизнеса;
- оптимизации эффективности инвестиционной стратегии предприятия / бизнес-плана проекта.
В итоге студент сможет оценить эффективность инвестиционной стратегии предприятия или идеи собственного стартапа в любой отрасли н/х с использованием интуитивно понятного современного информационного продукта, а при необходимости  легко освоить его аналоги.",Лёвкина Анастасия Олеговна,"Аналитика, IT, Экономика"
Индоевропейские языки Древнего Востока,https://www.utmn.ru/obrazovanie/iot/electives/1098409/,"Дисциплина «Индоевропейские языки Древнего Востока» является частью майнора «Введение в индоевропеистику». Цель дисциплины — получение целостного представления о языках Востока, относящихся к индоевропейской семье, в их неразрывной связи с этногеографическим, культурным и историческим контекстом. Приводятся широкие сведения из истории лингвистической географии Древнего Востока — от Малой Азии, Ближнего Востока до Индии и Ирана. 
Цель дисциплины — получение целостного представления о языках Востока, относящимися к индоевропейской семье, в их неразрывной связи с этногеографическим, культурным и историческим контекстом.
Задачи:
1) изучить историю наиболее ранних из сохранившихся мертвых письменных языков индоевропейской семьи – хетто-лувийских языков. В курсе изучаются системы письма хеттов, выдвигаются гипотезы о происхождении этих языков и их взаимодействии с рядом ближневосточных неиндоевропейских языков;
2) рассмотреть идоевропейские языки древнего Востока в неиндоевропейском контексте: наряду с индоевропейскими языками рассматриваются ряд семитских языков и языков неустановленного происхождения (хатский; хурритский; урартский; эламский и др.), оказавших влияние на разные индоевропейские языки;
3) рассмотреть индоиранскую группу языков;
4) получить первичные навыки чтения на санскрите.
Студенты получают первичные навыки чтения на санскрите.",Новокрещенных Екатерина Владимировна,Лингвистика
Инклюзия и разнообразие в образовании. Образование в ситуации неопределенности и гетерогенности,https://www.utmn.ru/obrazovanie/iot/electives/1096674/,"Уметь жить среди людей – это важная компетенция. Важно уметь ценить разнообразие людей (по национальности, по менталитету, здоровью и т.д.) и понимать потенциал, ресурс этого разнообразия. Сегодня люди много путешествуют в другие страны, много приезжает к нам – умение толерантно и инклюзивно воспринимать инаковость – важная ценность и компетенция современного человека.
Курс представляет как особую профессиональную значимость для профессионально области Человек-Человек (hard skills). Так значим и для студентов всех направлений подготовки, потому что умение работать в команде, быть инклюзивным (включать и включаться) это относится к soft skills – а значит определяет профессиональную и жизненную успешность современного человека.
Курс формирует готовность к работе в гетерогенных группах. Актуализируется понимание позитивного отношения к совместной деятельности в обучении в условиях разнообразия. Осуществляется становление инклюзивных профессиональных действий на основе индивидуальных образовательных потребностей обучающихся.
Цель курса: обеспечение психолого-педагогической подготовки в сфере инклюзивного образования в условиях гетерогенности и неопределенности.
Задачи:
1) Актуализировать понимание разнообразия как ценности. В частности, формируется гуманистическое, экзистенциальное отношение к Человеку в рамках культуры достоинства. Обеспечивается знания био-психо-социальных основ гетерогенности. Формируется понимание принципа доступности образования. Анализируются предрассудки обыденного сознания по отношению к людям с ОВЗ и их проявления в образовательном пространстве.
2) Сформировать методические контексты инклюзии как практики. В частности, анализируются модели и виды инклюзии. Формируется умение адаптации образовательных программ на основе анализа индивидуальных образовательных потребностей обучающихся.
3) Обеспечить пропедевтический этап профессионального становления в области инклюзивного образования. В частности, формируется методологический тренд на универсальный дизайн образовательных программ. Отрабатываются умения организации и реализации обучения на основе индивидуализации образовательной траектории. Обеспечивается формирование инклюзивной культуры личности педагога как профессионально значимого качества.",Кукуев Евгений Анатольевич,Педагогика
Иностранный язык (английский) в профессиональной сфере,https://www.utmn.ru/obrazovanie/iot/electives/1099572/,"Содержание курса включает обсуждение функций и роли денег, современных банковских технологий, различных финансовых операций выдачи кредита, перевода денег и др., основных понятий корпоративного финансирования, деятельности бирж, а также особенностей международных банковских систем и возможностей карьерного роста в области финансов и банковского дела.
По окончании курса студент будет Знать: - основные понятия в области корпоративных финансов и банковского дела на английском языке; - особенности написания бизнес плана для получения кредита на создание и развитие малого предприятия на английском языке; - основные принципы и лексико-грамматические особенности создания презентации на английском языке. Уметь: - вести на английском языке беседу делового содержания на уровне речевых клише, соблюдая правила речевого этикета; - осуществлять поиск необходимой информации на английском языке, проводить критический анализ и экспертную оценку проблемных ситуаций рассматриваемых на занятиях совместно с другими членами группы; - оформлять результаты проектной деятельности в виде письменного отчета и устной презентации на английском языке. Владеть навыками и опытом: - подготовки и проведения деловых встреч на английском языке с применением современных интернет технологий; - межличностного общения в команде; - организации работы по реализации творческого проекта",Яркова Елена Леонидовна,Иностранный язык
Иностранный язык в туристской индустрии,https://www.utmn.ru/obrazovanie/iot/electives/1099589/,"Интересные темы курса: Travel Ideas! Must Visit / Must Do. Mass Cruising.Shopping Around the World. Safety Tips. Popular Destinations: Europe or Asia?
Будут знать английскую лексику, которая используется в сервисе и туризме. Активизируют знания английской грамматики для того, чтобы правильно строить иноязычную диалогическую и монологическую речь, смогут выбирать наиболее уместные грамматические формы и конструкции, обеспечивающие межкультурное общение. Актуализируют навыки ознакомительного, просмотрового и изучающего чтения оригинальных текстов с целью расширения общекультурного и профессионального кругозора. Будут простимулированы навыки проектной деятельности, анализа и критического оценивания информации, полученной из англоязычных источников (в том числе из сети Интернет).",Войтик Наталья Викторовна,Иностранный язык
Интеллектуальные путешествия (SMART tourism),https://www.utmn.ru/obrazovanie/iot/electives/1111916/,"Содержание курса:
1. Концептуальные рамки туризма. Основные понятие. Современное состояние. Интеллектуальные путешествия (SMART tourism). Устойчивый туризм.
2.Туристский потенциал, туристские ресурсы и объекты.
3.Территориальная организация туризма. Главные туристские центры международного и внутреннего тризма. Структура индустрии туризма.
4. Организация туристских путешествий. Технология работы турагентств.
5. Разработка туристского продукта.
При успешном завершении всех заданий вы будете знать специфику работы туроператоров и турагентств, туристические центры мира и России по различным видам туризма, владеть навыками проектирования туров.",Гудковских Мария Владимировна,"Бизнес, Маркетинг, Туризм"
Интерактивный процесс обучения иностранному языку: организация и планирование,https://www.utmn.ru/obrazovanie/iot/electives/1098152/,"Курс включает четыре тематических блока: задания и упражнения на уроке ИЯ, формы взаимодействия (групповая динамика), обучение продуктивным видам речи, проектное обучение.
Обязательное условие: владение немецким языком на уровне В1, т.к. рабочий язык курса - немецкий.
Успешно освоив данный курс, студент сможет проводить собственные практико-исследовательские проекты в рамках профессиональной деятельности (на немецком языке), публично представлять и защищать результаты своей проектной деятельности в профессиональной сфере (на немецком языке). Желающие смогут сознательно выбрать продолжение своей академической траектории в магистратуре немецкого университета.",Савина Ольга Юрьевна,Иностранный язык
Интернет вещей в экономике и повседневной жизни,https://www.utmn.ru/obrazovanie/iot/electives/1112549/,"Предлагаемый к изучению в элективной дисциплине перечень тем является набором базовых цифровых и экономических знаний для успешного молодого человека в современном обществе. В курсе мы рассмотрим как особенности терминологии и области применения интернета вещей в целом, так и отдельные аспекты интернета вещей в различных сферах экономики, в частности в банках, уделим внимание интернету вещей и человеку, остановимся на особенностях мирового и российского интернета вещей.
В результате освоения элективной дисциплины студенты узнают тонкости терминологии интернета вещей, особенности применения интернета вещей в экономике и повседневной жизни человека, изучат тенденции развития мирового и российского рынка интернета вещей, факторы роста и сдерживания рынка, перспективные направления применения интернета вещей. Студенты сформируют навыки анализа и прогноза развития интернета вещей в России, смогут использовать различные технологии интернета вещей, аргументировано отстаивать свою точку зрения в дискуссиях и дебатах по вопросам, связанным с интернетом вещей, принимать обоснованные экономические решения в области интернета вещей.","Тарханова Елена Александровна, Фрицлер Анжелика Викторовна","Аналитика, IT, Экономика, Финансы"
Интернет-продвижение проектов,https://www.utmn.ru/obrazovanie/iot/electives/1099752/,"В первой части курса изучаются основы маркетинга: выбор инструментов, анализ аудитории и конкурентов. Затем студенты учатся прорабатывать контентную стратегию и взаимодействовать с пользователями сайта. На следующем этапе — привлекать трафик с помощью SEO и контекстной рекламы. Заключительная часть посвящена управлению цифровым маркетингом, то есть работе с веб-аналитикой и продвижением продукта в сети.
Сначала преподаватель даст теоретическую информацию, а потом студенты получают задания и учатся применять полученные знания на практике. По мере прохождения курса студенты научатся создавать лендинги, работать с веб-аналитикой, оптимизировать сайт под поисковики, продвигать бизнес в социальных сетях, запускать рекламную кампанию или собственную рассылку. У студентов сформируется компетенция в области проектной и организационной работы.",Лазовская Виктория Викторовна,"IT, Маркетинг"
Интерпретация текста (немецкий язык),https://www.utmn.ru/obrazovanie/iot/electives/1099700/,"Структура художественного литературного произведения и его сильные позиции. Художественное пространство текста и языковые средства его репрезентации. Контекстуальное взаимодействие средств различных языковых уровней в тексте. Образ автора и литературный портрет персонажа. Сопоставительный анализ поэтических и прозаических текстов, художественных и нехудожественных текстов сходной тематики.
Студенты научатся работать с содержательно-фактуальной, содержательно-контекстуальной и подтекстовой информацией, анализировать изобразительно-выразительные средства, интерпретировать художественные тексты различных жанров.",Соловьёва Инна Владимировна,Иностранный язык
Информационные войны в региональном измерении,https://www.utmn.ru/obrazovanie/iot/electives/1099715/,"В фокусе рассмотрения - понятие и характеристики информационных войн, их виды и структура, оружие и этапы реализации, информационные войны, осуществляемые странами Европы, Азиатско-Тихоокеанского региона, Северной Америки, СНГ, обеспечение на государственном и наднациональном уровнях информационной безопасности.
По окончании курса Вы будете вооружены знаниями по информационной безопасности, разовьете умение критически оценивать позиции сторон, ведущих информационные войны. Кроме того, Вы приобретете способности осуществлять сбор и анализ сведений, предметом которых выступают информационные процессы, на этой основе составлять базы данных, а также подготавливать информационные материалы, предназначенные для продвижения интересов Российской Федерации / страны происхождения за рубежом.",Пустошинская Ольга Сергеевна,"IT, Международные отношения, Политология, Регионоведение"
Информационные технологии в межкультурной коммуникации (английский язык),https://www.utmn.ru/obrazovanie/iot/electives/1099651/,"Основная тематическая направленность курса – межличностные отношения, социальная жизнь, средства массовой информации, кибер-новинки, высокие технологии, робототехника, виртуальная реальность, искусственный интеллект. От Pixton до Powtoon, от YouTube до AI, от Crello до VR- этот курс исследует самые высокие технологии новых медиа в доступном и интересном формате для новичков в этой области. Обсуждаемые темы включают цифровое телевидение, цифровое кино, сетевые игры, мобильные приложения, всемирную паутину, цифровые новости, социальные сети в Интернете, мультимедиа и виртуальные сообщества.
Успешное завершение курса предоставит студенту концептуальные инструменты, необходимые для понимания структуры информационного века, обеспечивая основу для последующего изучения информации:
– вести онлайн общение на английском языке, включая общение с носителями языка на представленную тематику, связанную с межличностными отношениями, обучением, работой, средствами массовой информации, высокими технологиями, языком рекламы и т.д. в соответствии с рабочей программой обучения;
– уверенно выражать свои мысли на английском языке с правильным произношением;
– заполнять регистрационные формы, анкеты, таблицы, диаграммы, графики, составлять резюме и мотивационное письмо;
– вести переписку в интернет-контенте;
– в целом применять английский язык в различных ситуациях повседневной жизни, сетевом этикете, в туристических и деловых поездках.","Герцен Светлана Михайловна, Ковальчук Светлана Сергеевна",Иностранный язык
Информационные технологии в профессиональной деятельности,https://www.utmn.ru/obrazovanie/iot/electives/1099720/,"На курсе студенты будут изучать следующие аспекты: – работа с большими документами, разработка шаблона для курсовых работ и ВКР: автосодержание, ссылки, сноски, список литературы, колонтитулы, форматирование текста, создание схем. – решение сложные задач с условием, построение графиков и диаграмм, использование встроенных функций, создание таблиц. создание презентаций, использование программы для создания презентаций. – разработка электронных ресурсов, использование ЭР в различных областях деятельности, применение мультимедийный технологий
В результате изучения дисциплины обучающийся будет: – Знать: основные понятия информационных технологий; современные информационные технологии; приемы работы с большими документами и решение профессионально-направленных задач средствами MS Word, MS Excel, MS PowerPoint, блокнот и специализированный редактор; – Уметь: использовать полученные знания в практической деятельности; работать с различными видами информации с помощью компьютера; работать с программными средствами общего назначения (MS Word, MS Excel, MS PowerPoint, блокнот); – Владеть: профессиональной терминологией в области ИТ; навыками работы с компьютером, с большими документами в MS Word; создания таблиц, построения графиков и диаграмм, решением задач средствами MS Excel; разработкой электронных ресурсов (средствами MS PowerPoint, конструктора сайта).",Пряхина Елена Николаевна,IT
Информационные технологии в работе с текстом,https://www.utmn.ru/obrazovanie/iot/electives/1099669/,"Основные тематические блоки курса: текстовый редактор, звуковой редактор, табличный редактор, инструменты визуализации, изучение иностранных языков с помощью Интернета, основы корпусной лингвистики, основы лингвостатистики, ИКТ в НИРС.
Курс позволит сформировать широкий спектр пользовательских навыков, поможет стать продвинутым пользователем компьютера, что необходимо в любой профессиональной области.",Савина Ольга Юрьевна,IT
Информационные технологии в экономической безопасности,https://www.utmn.ru/obrazovanie/iot/electives/1099646/,"В ходе курса Вы узнаете как обеспечить персональную информационную и финансовую безопасность, научитесь решать экономические и управленческие задачи с применением IT с учетом основных требований экономической и информационной безопасности; получите базовые навыки анализа данных, поиска решений в MS Excel; научитесь администрировать прав доступа данных к базе клиентов, организовывать устойчивых взаимоотношений с клиентами с помощью CRM систем.
В итоге курса Вы познакомитесь с основными интернет-сервисами и современными IT в сфере экономической безопасности предприятия и его устойчивого развития; а также освоите цифровые технологии управления рисками персональной финансовой безопасности и экономической безопасности предприятия.",Лёвкина Анастасия Олеговна,IT
Искусство в цифровом пространстве,https://www.utmn.ru/obrazovanie/iot/electives/1099666/,"Digital art : история, современное состояние, контекст, споры, перспективы
Свободное ориентирование в проблемах цифровых трансформаций искусства, умение различать основные языки digital art, владение навыками его понимания",Дворцова Наталья Петровна,Искусство
